"公历","农历","年干支","日干支","五行建除"
"0986-04-25","3月9日","丙戌","丁丑","收"
"0986-04-26","3月10日","丙戌","戊寅","开"
"0986-04-27","3月11日","丙戌","己卯","闭"
"0986-04-28","3月12日","丙戌","庚辰","建"
"0986-04-29","3月13日","丙戌","辛巳","除"
"0986-04-30","3月14日","丙戌","壬午","满"
"0986-05-01","3月15日","丙戌","癸未","平"
"0986-05-02","3月16日","丙戌","甲申","定"
"0986-05-03","3月17日","丙戌","乙酉","执"
"0986-05-04","3月18日","丙戌","丙戌","破"
"0986-05-05","3月19日","丙戌","丁亥","危"
"0986-05-06","3月20日","丙戌","戊子","成"
"0986-05-07","3月21日","丙戌","己丑","收"
"0986-05-08","3月22日","丙戌","庚寅","开"
"0986-05-09","3月23日","丙戌","辛卯","闭"
"0986-05-10","3月24日","丙戌","壬辰","建"
"0986-05-11","3月25日","丙戌","癸巳","除"
"0986-05-12","3月26日","丙戌","甲午","满"
"0986-05-13","3月27日","丙戌","乙未","平"
"0986-05-14","3月28日","丙戌","丙申","定"
"0986-05-15","3月29日","丙戌","丁酉","执"
"0986-05-16","3月30日","丙戌","戊戌","破"
"0986-05-17","4月1日","丙戌","己亥","破"
"0986-05-18","4月2日","丙戌","庚子","危"
"0986-05-19","4月3日","丙戌","辛丑","成"
"0986-05-20","4月4日","丙戌","壬寅","收"
"0986-05-21","4月5日","丙戌","癸卯","开"
"0986-05-22","4月6日","丙戌","甲辰","闭"
"0986-05-23","4月7日","丙戌","乙巳","建"
"0986-05-24","4月8日","丙戌","丙午","除"
"0986-05-25","4月9日","丙戌","丁未","满"
"0986-05-26","4月10日","丙戌","戊申","平"
"0986-05-27","4月11日","丙戌","己酉","定"
"0986-05-28","4月12日","丙戌","庚戌","执"
"0986-05-29","4月13日","丙戌","辛亥","破"
"0986-05-30","4月14日","丙戌","壬子","危"
"0986-05-31","4月15日","丙戌","癸丑","成"
"0986-06-01","4月16日","丙戌","甲寅","收"
"0986-06-02","4月17日","丙戌","乙卯","开"
"0986-06-03","4月18日","丙戌","丙辰","闭"
"0986-06-04","4月19日","丙戌","丁巳","建"
"0986-06-05","4月20日","丙戌","戊午","除"
"0986-06-06","4月21日","丙戌","己未","满"
"0986-06-07","4月22日","丙戌","庚申","平"
"0986-06-08","4月23日","丙戌","辛酉","定"
"0986-06-09","4月24日","丙戌","壬戌","执"
"0986-06-10","4月25日","丙戌","癸亥","破"
"0986-06-11","4月26日","丙戌","甲子","危"
"0986-06-12","4月27日","丙戌","乙丑","成"
"0986-06-13","4月28日","丙戌","丙寅","收"
"0986-06-14","4月29日","丙戌","丁卯","开"
"0986-06-15","5月1日","丙戌","戊辰","开"
"0986-06-16","5月2日","丙戌","己巳","闭"
"0986-06-17","5月3日","丙戌","庚午","建"
"0986-06-18","5月4日","丙戌","辛未","除"
"0986-06-19","5月5日","丙戌","壬申","满"
"0986-06-20","5月6日","丙戌","癸酉","平"
"0986-06-21","5月7日","丙戌","甲戌","定"
"0986-06-22","5月8日","丙戌","乙亥","执"
"0986-06-23","5月9日","丙戌","丙子","破"
"0986-06-24","5月10日","丙戌","丁丑","危"
"0986-06-25","5月11日","丙戌","戊寅","成"
"0986-06-26","5月12日","丙戌","己卯","收"
"0986-06-27","5月13日","丙戌","庚辰","开"
"0986-06-28","5月14日","丙戌","辛巳","闭"
"0986-06-29","5月15日","丙戌","壬午","建"
"0986-06-30","5月16日","丙戌","癸未","除"
"0986-07-01","5月17日","丙戌","甲申","满"
"0986-07-02","5月18日","丙戌","乙酉","平"
"0986-07-03","5月19日","丙戌","丙戌","定"
"0986-07-04","5月20日","丙戌","丁亥","执"
"0986-07-05","5月21日","丙戌","戊子","破"
"0986-07-06","5月22日","丙戌","己丑","危"
"0986-07-07","5月23日","丙戌","庚寅","成"
"0986-07-08","5月24日","丙戌","辛卯","收"
"0986-07-09","5月25日","丙戌","壬辰","开"
"0986-07-10","5月26日","丙戌","癸巳","闭"
"0986-07-11","5月27日","丙戌","甲午","建"
"0986-07-12","5月28日","丙戌","乙未","除"
"0986-07-13","5月29日","丙戌","丙申","满"
"0986-07-14","5月30日","丙戌","丁酉","平"
"0986-07-15","6月1日","丙戌","戊戌","平"
"0986-07-16","6月2日","丙戌","己亥","定"
"0986-07-17","6月3日","丙戌","庚子","执"
"0986-07-18","6月4日","丙戌","辛丑","破"
"0986-07-19","6月5日","丙戌","壬寅","危"
"0986-07-20","6月6日","丙戌","癸卯","成"
"0986-07-21","6月7日","丙戌","甲辰","收"
"0986-07-22","6月8日","丙戌","乙巳","开"
"0986-07-23","6月9日","丙戌","丙午","闭"
"0986-07-24","6月10日","丙戌","丁未","建"
"0986-07-25","6月11日","丙戌","戊申","除"
"0986-07-26","6月12日","丙戌","己酉","满"
"0986-07-27","6月13日","丙戌","庚戌","平"
"0986-07-28","6月14日","丙戌","辛亥","定"
"0986-07-29","6月15日","丙戌","壬子","执"
"0986-07-30","6月16日","丙戌","癸丑","破"
"0986-07-31","6月17日","丙戌","甲寅","危"
"0986-08-01","6月18日","丙戌","乙卯","成"
"0986-08-02","6月19日","丙戌","丙辰","收"
"0986-08-03","6月20日","丙戌","丁巳","开"
"0986-08-04","6月21日","丙戌","戊午","闭"
"0986-08-05","6月22日","丙戌","己未","建"
"0986-08-06","6月23日","丙戌","庚申","除"
"0986-08-07","6月24日","丙戌","辛酉","满"
"0986-08-08","6月25日","丙戌","壬戌","平"
"0986-08-09","6月26日","丙戌","癸亥","定"
"0986-08-10","6月27日","丙戌","甲子","执"
"0986-08-11","6月28日","丙戌","乙丑","破"
"0986-08-12","6月29日","丙戌","丙寅","危"
"0986-08-13","7月1日","丙戌","丁卯","危"
"0986-08-14","7月2日","丙戌","戊辰","成"
"0986-08-15","7月3日","丙戌","己巳","收"
"0986-08-16","7月4日","丙戌","庚午","开"
"0986-08-17","7月5日","丙戌","辛未","闭"
"0986-08-18","7月6日","丙戌","壬申","建"
"0986-08-19","7月7日","丙戌","癸酉","除"
"0986-08-20","7月8日","丙戌","甲戌","满"
"0986-08-21","7月9日","丙戌","乙亥","平"
"0986-08-22","7月10日","丙戌","丙子","定"
"0986-08-23","7月11日","丙戌","丁丑","执"
"0986-08-24","7月12日","丙戌","戊寅","破"
"0986-08-25","7月13日","丙戌","己卯","危"
"0986-08-26","7月14日","丙戌","庚辰","成"
"0986-08-27","7月15日","丙戌","辛巳","收"
"0986-08-28","7月16日","丙戌","壬午","开"
"0986-08-29","7月17日","丙戌","癸未","闭"
"0986-08-30","7月18日","丙戌","甲申","建"
"0986-08-31","7月19日","丙戌","乙酉","除"
"0986-09-01","7月20日","丙戌","丙戌","满"
"0986-09-02","7月21日","丙戌","丁亥","平"
"0986-09-03","7月22日","丙戌","戊子","定"
"0986-09-04","7月23日","丙戌","己丑","执"
"0986-09-05","7月24日","丙戌","庚寅","破"
"0986-09-06","7月25日","丙戌","辛卯","危"
"0986-09-07","7月26日","丙戌","壬辰","成"
"0986-09-08","7月27日","丙戌","癸巳","收"
"0986-09-09","7月28日","丙戌","甲午","开"
"0986-09-10","7月29日","丙戌","乙未","闭"
"0986-09-11","7月30日","丙戌","丙申","建"
"0986-09-12","8月1日","丙戌","丁酉","建"
"0986-09-13","8月2日","丙戌","戊戌","除"
"0986-09-14","8月3日","丙戌","己亥","满"
"0986-09-15","8月4日","丙戌","庚子","平"
"0986-09-16","8月5日","丙戌","辛丑","定"
"0986-09-17","8月6日","丙戌","壬寅","执"
"0986-09-18","8月7日","丙戌","癸卯","破"
"0986-09-19","8月8日","丙戌","甲辰","危"
"0986-09-20","8月9日","丙戌","乙巳","成"
"0986-09-21","8月10日","丙戌","丙午","收"
"0986-09-22","8月11日","丙戌","丁未","开"
"0986-09-23","8月12日","丙戌","戊申","闭"
"0986-09-24","8月13日","丙戌","己酉","建"
"0986-09-25","8月14日","丙戌","庚戌","除"
"0986-09-26","8月15日","丙戌","辛亥","满"
"0986-09-27","8月16日","丙戌","壬子","平"
"0986-09-28","8月17日","丙戌","癸丑","定"
"0986-09-29","8月18日","丙戌","甲寅","执"
"0986-09-30","8月19日","丙戌","乙卯","破"
"0986-10-01","8月20日","丙戌","丙辰","危"
"0986-10-02","8月21日","丙戌","丁巳","成"
"0986-10-03","8月22日","丙戌","戊午","收"
"0986-10-04","8月23日","丙戌","己未","开"
"0986-10-05","8月24日","丙戌","庚申","闭"
"0986-10-06","8月25日","丙戌","辛酉","建"
"0986-10-07","8月26日","丙戌","壬戌","除"
"0986-10-08","8月27日","丙戌","癸亥","满"
"0986-10-09","8月28日","丙戌","甲子","平"
"0986-10-10","8月29日","丙戌","乙丑","定"
"0986-10-11","9月1日","丙戌","丙寅","定"
"0986-10-12","9月2日","丙戌","丁卯","执"
"0986-10-13","9月3日","丙戌","戊辰","破"
"0986-10-14","9月4日","丙戌","己巳","危"
"0986-10-15","9月5日","丙戌","庚午","成"
"0986-10-16","9月6日","丙戌","辛未","收"
"0986-10-17","9月7日","丙戌","壬申","开"
"0986-10-18","9月8日","丙戌","癸酉","闭"
"0986-10-19","9月9日","丙戌","甲戌","建"
"0986-10-20","9月10日","丙戌","乙亥","除"
"0986-10-21","9月11日","丙戌","丙子","满"
"0986-10-22","9月12日","丙戌","丁丑","平"
"0986-10-23","9月13日","丙戌","戊寅","定"
"0986-10-24","9月14日","丙戌","己卯","执"
"0986-10-25","9月15日","丙戌","庚辰","破"
"0986-10-26","9月16日","丙戌","辛巳","危"
"0986-10-27","9月17日","丙戌","壬午","成"
"0986-10-28","9月18日","丙戌","癸未","收"
"0986-10-29","9月19日","丙戌","甲申","开"
"0986-10-30","9月20日","丙戌","乙酉","闭"
"0986-10-31","9月21日","丙戌","丙戌","建"
"0986-11-01","9月22日","丙戌","丁亥","除"
"0986-11-02","9月23日","丙戌","戊子","满"
"0986-11-03","9月24日","丙戌","己丑","平"
"0986-11-04","9月25日","丙戌","庚寅","定"
"0986-11-05","9月26日","丙戌","辛卯","执"
"0986-11-06","9月27日","丙戌","壬辰","破"
"0986-11-07","9月28日","丙戌","癸巳","危"
"0986-11-08","9月29日","丙戌","甲午","成"
"0986-11-09","9月30日","丙戌","乙未","收"
"0986-11-10","10月1日","丙戌","丙申","收"
"0986-11-11","10月2日","丙戌","丁酉","开"
"0986-11-12","10月3日","丙戌","戊戌","闭"
"0986-11-13","10月4日","丙戌","己亥","建"
"0986-11-14","10月5日","丙戌","庚子","除"
"0986-11-15","10月6日","丙戌","辛丑","满"
"0986-11-16","10月7日","丙戌","壬寅","平"
"0986-11-17","10月8日","丙戌","癸卯","定"
"0986-11-18","10月9日","丙戌","甲辰","执"
"0986-11-19","10月10日","丙戌","乙巳","破"
"0986-11-20","10月11日","丙戌","丙午","危"
"0986-11-21","10月12日","丙戌","丁未","成"
"0986-11-22","10月13日","丙戌","戊申","收"
"0986-11-23","10月14日","丙戌","己酉","开"
"0986-11-24","10月15日","丙戌","庚戌","闭"
"0986-11-25","10月16日","丙戌","辛亥","建"
"0986-11-26","10月17日","丙戌","壬子","除"
"0986-11-27","10月18日","丙戌","癸丑","满"
"0986-11-28","10月19日","丙戌","甲寅","平"
"0986-11-29","10月20日","丙戌","乙卯","定"
"0986-11-30","10月21日","丙戌","丙辰","执"
"0986-12-01","10月22日","丙戌","丁巳","破"
"0986-12-02","10月23日","丙戌","戊午","危"
"0986-12-03","10月24日","丙戌","己未","成"
"0986-12-04","10月25日","丙戌","庚申","收"
"0986-12-05","10月26日","丙戌","辛酉","开"
"0986-12-06","10月27日","丙戌","壬戌","闭"
"0986-12-07","10月28日","丙戌","癸亥","建"
"0986-12-08","10月29日","丙戌","甲子","除"
"0986-12-09","11月1日","丙戌","乙丑","除"
"0986-12-10","11月2日","丙戌","丙寅","满"
"0986-12-11","11月3日","丙戌","丁卯","平"
"0986-12-12","11月4日","丙戌","戊辰","定"
"0986-12-13","11月5日","丙戌","己巳","执"
"0986-12-14","11月6日","丙戌","庚午","破"
"0986-12-15","11月7日","丙戌","辛未","危"
"0986-12-16","11月8日","丙戌","壬申","成"
"0986-12-17","11月9日","丙戌","癸酉","收"
"0986-12-18","11月10日","丙戌","甲戌","开"
"0986-12-19","11月11日","丙戌","乙亥","闭"
"0986-12-20","11月12日","丙戌","丙子","建"
"0986-12-21","11月13日","丙戌","丁丑","除"
"0986-12-22","11月14日","丙戌","戊寅","满"
"0986-12-23","11月15日","丙戌","己卯","平"
"0986-12-24","11月16日","丙戌","庚辰","定"
"0986-12-25","11月17日","丙戌","辛巳","执"
"0986-12-26","11月18日","丙戌","壬午","破"
"0986-12-27","11月19日","丙戌","癸未","危"
"0986-12-28","11月20日","丙戌","甲申","成"
"0986-12-29","11月21日","丙戌","乙酉","收"
"0986-12-30","11月22日","丙戌","丙戌","开"
"0986-12-31","11月23日","丙戌","丁亥","闭"
"0987-01-01","11月24日","丙戌","戊子","建"
"0987-01-02","11月25日","丙戌","己丑","除"
"0987-01-03","11月26日","丙戌","庚寅","满"
"0987-01-04","11月27日","丙戌","辛卯","平"
"0987-01-05","11月28日","丙戌","壬辰","定"
"0987-01-06","11月29日","丙戌","癸巳","执"
"0987-01-07","11月30日","丙戌","甲午","破"
"0987-01-08","12月1日","丙戌","乙未","破"
"0987-01-09","12月2日","丙戌","丙申","危"
"0987-01-10","12月3日","丙戌","丁酉","成"
"0987-01-11","12月4日","丙戌","戊戌","收"
"0987-01-12","12月5日","丙戌","己亥","开"
"0987-01-13","12月6日","丙戌","庚子","闭"
"0987-01-14","12月7日","丙戌","辛丑","建"
"0987-01-15","12月8日","丙戌","壬寅","除"
"0987-01-16","12月9日","丙戌","癸卯","满"
"0987-01-17","12月10日","丙戌","甲辰","平"
"0987-01-18","12月11日","丙戌","乙巳","定"
"0987-01-19","12月12日","丙戌","丙午","执"
"0987-01-20","12月13日","丙戌","丁未","破"
"0987-01-21","12月14日","丙戌","戊申","危"
"0987-01-22","12月15日","丙戌","己酉","成"
"0987-01-23","12月16日","丙戌","庚戌","收"
"0987-01-24","12月17日","丙戌","辛亥","开"
"0987-01-25","12月18日","丙戌","壬子","闭"
"0987-01-26","12月19日","丙戌","癸丑","建"
"0987-01-27","12月20日","丙戌","甲寅","除"
"0987-01-28","12月21日","丙戌","乙卯","满"
"0987-01-29","12月22日","丙戌","丙辰","平"
"0987-01-30","12月23日","丙戌","丁巳","定"
"0987-01-31","12月24日","丙戌","戊午","执"
"0987-02-01","12月25日","丙戌","己未","破"
"0987-02-02","12月26日","丙戌","庚申","危"
"0987-02-03","12月27日","丙戌","辛酉","成"
"0987-02-04","12月28日","丙戌","壬戌","收"
"0987-02-05","12月29日","丙戌","癸亥","开"
